Renewable Generation Technologies(EEEE3019 UNUK) (SPR1 25-26),https://moodle.nottingham.ac.uk/course/view.php?id=156852
Embedded Computing (EEEE3016 UNUK)(SPR1 25-26),https://moodle.nottingham.ac.uk/course/view.php?id=156850
Digital Communications (EEEE3007 UNUK)(SPR1 25-26),https://moodle.nottingham.ac.uk/course/view.php?id=156849
PowerNetworks (EEEE3002 UNUK) (SPR1 25-26),https://moodle.nottingham.ac.uk/course/view.php?id=156848
ThirdYear Project (EEEE3001 UNUK) (FYR1 25-26),https://moodle.nottingham.ac.uk/course/view.php?id=156847
Electronic Systems Group Design Project(EEEE2070 UNUK) (AUT1 25-26),https://moodle.nottingham.ac.uk/course/view.php?id=156844
Contemporary Engineering Themes B(EEEE2064 UNUK) (SPR1 25-26),https://moodle.nottingham.ac.uk/course/view.php?id=156843
Electrical Energy Conditioning andControl (EEEE2045 UNUK) (FYR1 25-26),https://moodle.nottingham.ac.uk/course/view.php?id=156840
Electronic Processing andCommunications (EEEE2044 UNUK) (FYR1 25-26),https://moodle.nottingham.ac.uk/course/view.php?id=156839
Contemporary Engineering Themes A(EEEE1041 UNUK) (SPR1 25-26),https://moodle.nottingham.ac.uk/course/view.php?id=156838
Introduction to SoftwareEngineering and Programming (EEEE1040 UNUK) (AUT1 25-26),https://moodle.nottingham.ac.uk/course/view.php?id=156837
Engineering Mathematics (EEEE1005UNUK) (FYR1 25-26),https://moodle.nottingham.ac.uk/course/view.php?id=156836
Information and Systems (EEEE1004UNUK) (FYR1 25-26),https://moodle.nottingham.ac.uk/course/view.php?id=156835
Power and Energy (EEEE1003 UNUK)(FYR1 25-26),https://moodle.nottingham.ac.uk/course/view.php?id=156834
MSc Project (Summer) (EEEE4129UNUK) (SUM1 24-25),https://moodle.nottingham.ac.uk/course/view.php?id=134805
Aerospace Electronic Engineeringand Computing (EEEE1006 UNUK) (FYR1 25-26),https://moodle.nottingham.ac.uk/course/view.php?id=156918
